Page,topic,Date,Pageviews
/blog/life-and-debt-profiles-of-people-caught-in-student-loan-crisis/,education-u-s,20170216,4
/blog/life-and-debt-profiles-of-people-caught-in-student-loan-crisis/,education-u-s,20170217,4
/blog/life-and-debt-profiles-of-people-caught-in-student-loan-crisis/,education-u-s,20170222,4
/blog/life-and-debt-profiles-of-people-caught-in-student-loan-crisis/,education-u-s,20170228,4
/blog/life-and-debt-profiles-of-people-caught-in-student-loan-crisis/,education-u-s,20170301,4
/blog/life-and-debt-profiles-of-people-caught-in-student-loan-crisis/,education-u-s,20170302,4
/blog/life-and-debt-profiles-of-people-caught-in-student-loan-crisis/,education-u-s,20170308,4
/blog/life-and-debt-profiles-of-people-caught-in-student-loan-crisis/,education-u-s,20170313,4
/blog/life-and-debt-profiles-of-people-caught-in-student-loan-crisis/,education-u-s,20170321,4
/blog/life-and-debt-profiles-of-people-caught-in-student-loan-crisis/,education-u-s,20170324,4
/blog/lifelines-the-best-reporting-about-food-and-climate/,"climate-change,food-security,sustainability",20170119,4
/blog/lifelines-the-best-reporting-about-food-and-climate/,"climate-change,food-security,sustainability",20170127,4
/blog/lifelines-the-best-reporting-about-food-and-climate/,"climate-change,food-security,sustainability",20170316,4
/blog/lifelines-the-best-reporting-about-food-and-climate/,"climate-change,food-security,sustainability",20170317,4
/blog/lifelines-the-best-reporting-about-food-and-climate/,"climate-change,food-security,sustainability",20170323,4
/blog/link-disparate-data-to-help-id-bodies-federal-report-recommends/,criminal-justice,20170126,4
/blog/link-disparate-data-to-help-id-bodies-federal-report-recommends/,criminal-justice,20170127,4
/blog/link-disparate-data-to-help-id-bodies-federal-report-recommends/,criminal-justice,20170322,4
/blog/living-with-the-unreal-grappling-with-orlandos-aftermath/,"guns,guns-and-society",20170107,4
/blog/living-with-the-unreal-grappling-with-orlandos-aftermath/,"guns,guns-and-society",20170203,4
/blog/luxembourg-lines-up-to-mine-in-outer-space/,"environment,oil-and-mining,labor-and-employment",20170119,4
/blog/man-shot-after-urinating-on-wall-sues-security-guard-and-his-firm/,security-guards,20170122,4
/blog/manager-reportedly-urinates-on-employee-and-keeps-his-job/,"labor-and-employment,workers-rights",20170108,4
/blog/manager-reportedly-urinates-on-employee-and-keeps-his-job/,"labor-and-employment,workers-rights",20170208,4
/blog/manager-reportedly-urinates-on-employee-and-keeps-his-job/,"labor-and-employment,workers-rights",20170320,4
/blog/mccain-assails-pentagon-for-going-too-hard-on-for-profit-college/,"accountability,education,veterans",20170109,4
/blog/mccain-assails-pentagon-for-going-too-hard-on-for-profit-college/,"accountability,education,veterans",20170127,4
/blog/mccain-assails-pentagon-for-going-too-hard-on-for-profit-college/,"accountability,education,veterans",20170217,4
/blog/mccain-assails-pentagon-for-going-too-hard-on-for-profit-college/,"accountability,education,veterans",20170221,4
/blog/mccain-assails-pentagon-for-going-too-hard-on-for-profit-college/,"accountability,education,veterans",20170317,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170101,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170107,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170110,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170111,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170112,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170115,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170116,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170117,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170118,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170119,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170124,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170125,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,accountability,20170202,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,"accountability,the-trump-era",20170130,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,"accountability,the-trump-era",20170202,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,"accountability,the-trump-era",20170209,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,"accountability,the-trump-era",20170215,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,"accountability,the-trump-era",20170216,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,"accountability,the-trump-era",20170221,4
/blog/meet-the-security-expert-telling-clinton-to-contest-the-election/,"accountability,the-trump-era",20170322,4
/blog/methane-emissions-are-on-the-rise-thats-a-big-problem/,environment,20170104,4
/blog/methane-emissions-are-on-the-rise-thats-a-big-problem/,environment,20170108,4
/blog/methane-emissions-are-on-the-rise-thats-a-big-problem/,environment,20170112,4
/blog/methane-emissions-are-on-the-rise-thats-a-big-problem/,environment,20170119,4
/blog/methane-emissions-are-on-the-rise-thats-a-big-problem/,environment,20170209,4
/blog/methane-emissions-are-on-the-rise-thats-a-big-problem/,environment,20170215,4
/blog/methane-emissions-are-on-the-rise-thats-a-big-problem/,environment,20170225,4
/blog/millions-more-dead-trees-in-sierra-nevada-increase-future-fire-risk/,"americas-ring-of-fire,sustainability",20170108,4
/blog/millions-more-dead-trees-in-sierra-nevada-increase-future-fire-risk/,"americas-ring-of-fire,sustainability",20170307,4
/blog/millions-more-dead-trees-in-sierra-nevada-increase-future-fire-risk/,"americas-ring-of-fire,sustainability",20170308,4
/blog/millions-more-dead-trees-in-sierra-nevada-increase-future-fire-risk/,"americas-ring-of-fire,sustainability",20170315,4
/blog/millions-more-dead-trees-in-sierra-nevada-increase-future-fire-risk/,"americas-ring-of-fire,sustainability",20170329,4
/blog/more-essential-reading-on-the-orlando-massacre/,"criminal-justice,guns",20170307,4
/blog/more-essential-reading-on-the-orlando-massacre/,"criminal-justice,guns",20170316,4
/blog/more-essential-reading-on-the-orlando-massacre/,"criminal-justice,guns",20170328,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170110,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170113,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170114,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170120,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170129,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170203,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170213,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170214,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170226,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170228,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170301,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170303,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170307,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170320,4
/blog/more-shakeups-at-tsa-as-senior-leaders-depart/,"criminal-justice,law-enforcement",20170322,4
/blog/more-than-100-countries-ban-this-cruel-trap-the-us-isnt-one-of-them/,"lords-of-yesterday,sustainability",20170103,4
/blog/more-than-100-countries-ban-this-cruel-trap-the-us-isnt-one-of-them/,"lords-of-yesterday,sustainability",20170104,4
/blog/more-than-100-countries-ban-this-cruel-trap-the-us-isnt-one-of-them/,"lords-of-yesterday,sustainability",20170106,4
/blog/more-than-100-countries-ban-this-cruel-trap-the-us-isnt-one-of-them/,"lords-of-yesterday,sustainability",20170114,4
